2024.11.30 13.26.07  ÉçÉOäJén
 ,     useful,   average,          diff ,          LED 
,-0953060,-0953200,+0000139,0
,-0953100,-0953198,+0000099,0
,-0953139,-0953198,+0000058,0
,-0953197,-0953198,+0000000,0
,-0953270,-0953274,+0000003,0
,-0953297,-0953297,+0000000,0
,-0953333,-0953357,+0000024,0
,-0953295,-0953356,+0000061,0
,-0953297,-0953356,+0000058,0
,-0953224,-0953355,+0000130,0
,-0953175,-0953352,+0000177,0
,-0953120,-0953350,+0000230,0
,-0953158,-0953349,+0000191,0
,-0953246,-0953347,+0000100,0
,-0953288,-0953347,+0000058,0
,-0953389,-0953391,+0000002,0
,-0953400,-0953400,+0000000,0
,-0953398,-0953444,+0000045,0
,-0953328,-0953443,+0000114,0
,-0953287,-0953441,+0000153,0
,-0953205,-0953439,+0000234,0
,-0953143,-0953434,+0000291,0
,-0953098,-0953432,+0000333,0
,-0953141,-0953430,+0000288,0
,-0953197,-0953426,+0000228,0
,-0953240,-0953424,+0000184,0
,-0953306,-0953423,+0000116,0
,-0953321,-0953422,+0000100,0
,-0953362,-0953421,+0000059,0
,-0953312,-0953420,+0000107,0
,-0953264,-0953418,+0000154,0
,-0953159,-0953416,+0000257,0
,-0953172,-0953412,+0000237,0
,-0953130,-0953410,+0000280,0
,-0953166,-0953408,+0000242,0
,-0953212,-0953405,+0000193,0
,-0953246,-0953404,+0000158,0
,-0953306,-0953403,+0000096,0
,-0953305,-0953402,+0000096,0
,-0953337,-0953401,+0000063,0
,-0953265,-0953400,+0000135,0
,-0953132,-0953396,+0000264,0
,-0953069,-0953394,+0000324,0
,-0953120,-0953390,+0000271,0
,-0953143,-0953388,+0000245,0
,-0953183,-0953386,+0000203,0
,-0953231,-0953384,+0000152,0
,-0953272,-0953383,+0000111,0
,-0953305,-0953382,+0000077,0
,-0953277,-0953381,+0000104,0
,-0953286,-0953380,+0000093,0
,-0953221,-0953379,+0000157,0
,-0953195,-0953376,+0000181,0
,-0953136,-0953374,+0000238,0
,-0953174,-0953373,+0000198,0
,-0953203,-0953370,+0000167,0
,-0953254,-0953369,+0000115,0
,-0953315,-0953368,+0000053,0
,-0953319,-0953368,+0000049,0
,-0953354,-0953370,+0000016,0
,-0953317,-0953369,+0000051,0
,-0953091,-0953367,+0000275,0
,-0952921,-0953363,+0000442,0
,-0949809,-0953328,+0003518,0
,-0941626,-0953237,+0011610,0
,-0919211,-0952971,+0033760,0
,-0345027,-0947302,+0602275,0
,+0123073,-0938940,+1048575,0
,+0697351,-0927942,+1048575,1
,+0839483,-0927942,+1048575,1
,+0058507,-0927942,+0986448,1
,-0300199,-0927942,+0627743,1
,-0714626,-0927942,+0213316,1
,-0813754,-0927942,+0114188,1
,-0907287,-0927942,+0055037,1
,-0926062,-0927942,+0001880,1
,-0935979,-0927942,-0008037,0
,-0945556,-0945556,+0000000,0
,-0947322,-0947322,+0000000,0
,-0948950,-0948950,+0000000,0
,-0949180,-0949180,+0000000,0
,-0949303,-0949303,+0000000,0
,-0949252,-0949302,+0000050,0
,-0948314,-0949294,+0000979,0
,-0944986,-0949260,+0004273,0
,-0429347,-0944991,+0026570,0
,+0060404,-0937136,+0997540,0
,+0426835,-0926480,+1048575,0
,-0103794,-0917383,+0813589,1
,-0399931,-0917383,+0517452,1
,-0749610,-0917383,+0167773,1
,-0833936,-0917383,+0083446,1
,-0914233,-0917383,+0003149,1
,-0930569,-0917383,-0013187,0
,-0945509,-0945509,+0000000,0
,-0948174,-0948174,+0000000,0
,-0949869,-0949869,+0000000,0
,-0951335,-0951335,+0000000,0
,-0951613,-0951613,+0000000,0
,-0951763,-0951763,+0000000,0
,-0950141,-0951751,+0001609,0
,-0939479,-0951610,+0012130,0
,-0929522,-0951437,+0021915,0
,-0895353,-0950749,+0055395,0
,-0406334,-0946495,+0540161,0
,+0437031,-0927757,+1048575,0
,+0617412,-0915685,+1048575,1
,+0279663,-0915685,+1048575,1
,-0417058,-0915685,+0498627,1
,-0627397,-0915685,+0288288,1
,-0841551,-0915685,+0074134,1
,-0888025,-0915685,+0027660,1
,-0931220,-0915685,-0015535,0
,-0939476,-0939476,+0000000,0
,-0947726,-0947726,+0000000,0
,-0949221,-0949221,+0000000,0
,-0951720,-0951720,+0000000,0
,-0952205,-0952205,+0000000,0
,-0952840,-0952840,+0000000,0
,-0953608,-0953608,+0000000,0
,-0953758,-0953758,+0000000,0
,-0954012,-0954012,+0000000,0
,-0954034,-0954034,+0000000,0
,-0954164,-0954164,+0000000,0
,-0954109,-0954163,+0000054,0
,-0954085,-0954162,+0000077,0
,-0954039,-0954161,+0000122,0
,-0954156,-0954161,+0000038,0
,-0954136,-0954161,+0000024,0
,-0954183,-0954183,+0000000,0
,-0954251,-0954257,+0000006,0
,-0954284,-0954284,+0000000,0
,-0954376,-0954378,+0000001,0
,-0954361,-0954378,+0000016,0
,-0954369,-0954394,+0000024,0
,-0954293,-0954393,+0000100,0
,-0954268,-0954391,+0000123,0
